id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,East Boston,42.36413,-71.02991,Entire home/apt,162.0,29,26,0.22,1,196
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,Roxbury,42.32844,-71.09581,Entire home/apt,111.0,3,132,0.68,11,187
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,Roxbury,42.32802,-71.09387,Entire home/apt,207.0,3,135,0.71,11,74
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,Back Bay,42.35173,-71.08685,Entire home/apt,146.0,91,9,0.08,12,348
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,Back Bay,42.35061,-71.08787,Entire home/apt,136.0,32,5,0.07,12,288
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,North End,42.36377,-71.05206,Entire home/apt,87.0,32,1,0.07,12,349
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,71783,Lance,Dorchester,42.32212,-71.06096,Entire home/apt,161.0,30,52,0.29,57,117
40601,Private room & bath - Jamaica Plain,174986,Robert,Jamaica Plain,42.31347,-71.11082,Private room,90.0,14,102,0.58,1,212
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,Dorchester,42.29871,-71.05954,Private room,110.0,29,334,1.89,7,360
60029,Room in geographical heart of Hub,255183,Michelle,Roxbury,42.32546,-71.08894,Private room,80.0,29,145,0.84,1,269
67774,Corner 1 bed facing Golden Dome,26988,Anne,Downtown,42.35689,-71.06206,Entire home/apt,195.0,91,49,0.33,6,257
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,Charlestown,42.37865,-71.06373,Private room,140.0,29,71,0.43,1,365
77691,Private room in Victorian house,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,95.0,29,304,1.78,7,364
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,Roxbury,42.32806,-71.09423,Entire home/apt,192.0,3,297,1.8,11,99
179244,Beautiful room with private bath/#2,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,67.0,29,110,0.67,7,134
184893,City Oasis/sleeps 4 near historical sites,887148,Dawn,Charlestown,42.37823,-71.06778,Entire home/apt,213.0,91,0,0.0,3,90
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,Jamaica Plain,42.31331,-71.12061,Private room,50.0,30,64,0.39,1,172
197972,Serene Studio in a Perfect Location,965697,Kristina,Jamaica Plain,42.31533,-71.11025,Entire home/apt,107.0,3,537,3.29,2,66
205894,Large bedroom in Victorian House/Room D,119019,Hermina,Dorchester,42.29871,-71.05954,Private room,95.0,29,217,1.32,7,358
