id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,162,29,26,2024-08-09,0.22,1,196,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,111,3,132,2024-10-19,0.68,11,187,10,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,207,3,135,2024-11-11,0.71,11,74,8,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,,91,29,2024-05-15,0.22,6,114,1,
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,146,91,9,2019-07-22,0.08,12,348,0,
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,136,32,5,2023-11-19,0.07,12,288,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,87,32,1,2024-01-05,0.07,12,349,0,
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,161,30,52,2023-08-19,0.29,57,117,0,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,103,2024-10-27,0.57,1,1,2,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,90,14,102,2024-12-11,0.58,1,212,4,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,,29,141,2024-11-14,0.80,1,37,4,STR-409822
47521,"Private Room, shared bath in Victorian House/ 1",119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,110,29,334,2024-09-02,1.89,7,360,1,STR-458879
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,145,2024-02-29,0.84,1,269,0,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,195,91,49,2024-05-31,0.33,6,257,1,
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,29,71,2023-11-04,0.43,1,365,0,STR-415924
77691,Private room in Victorian house,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,95,29,304,2025-01-10,1.78,7,364,4,STR-458879
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,192,3,297,2025-02-24,1.80,11,99,27,STR-446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,67,29,110,2024-01-01,0.67,7,134,0,STR-457920
184893,City Oasis/sleeps 4 near historical sites,887148,Dawn,,Charlestown,42.37823,-71.06778,Entire home/apt,213,91,0,,,3,90,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,50,30,64,2025-02-21,0.39,1,172,6,
197972,Serene Studio in a Perfect Location,965697,Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,107,3,537,2025-01-20,3.29,2,66,52,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,95,29,217,2024-10-08,1.32,7,358,2,STR-457920
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,106,3,314,2025-02-01,1.91,1,143,23,STR-545902
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,214,3,346,2024-11-11,2.11,1,107,23,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,318,2,512,2025-01-19,3.32,1,197,47,STR-411297
297994,Your cozy stay in South Boston,1536237,Albert,,South Boston,42.33583,-71.05271,Entire home/apt,190,3,67,2024-12-01,0.42,1,57,14,STR-564151
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,230,29,121,2024-11-17,0.76,7,350,1,STR-457920
377474,Cozy Room in Beautiful Victorian House /E,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,50,29,100,2024-11-24,0.65,7,317,30,STR-458879
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,75,5,416,2025-02-15,2.68,1,193,21,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,,91,16,2016-06-26,0.11,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,,180,8,2013-07-01,0.05,1,0,0,
530983,14P | The Grand View | 5BR 2BA w/AC | House!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,,30,65,2019-10-29,0.43,57,21,0,
533152,230B4 | The Penthouse Redline | 2BR 1B w/AC | Pvt,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,66,30,63,2024-07-16,0.47,57,191,1,
579605,230B3  | The Mayhew Redline | 3BR 1B w/AC | Pvt,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,153,30,58,2023-08-14,0.38,57,156,0,
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34096,-71.14647,Entire home/apt,,91,11,2017-07-05,0.07,1,0,0,
601750,145R1 | The Redlands 1 | 2BR 1BA w/AC | Private,71783,Lance,,West Roxbury,42.29061,-71.15293,Entire home/apt,192,30,0,,,57,363,0,Exempt: This listing is a unit used for furnished institutional or business stays
601763,25A2 | The Alameda 2 | 2BR 1BA w/AC & WD | Private,71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,,30,43,2022-12-31,0.44,57,17,0,
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,152,2,123,2024-12-01,1.19,3,274,22,STR-416892
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.377338,-71.063095,Entire home/apt,175,3,189,2024-09-01,1.23,1,84,8,STR-529113
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33451,-71.04983,Private room,271,2,8,2022-05-30,0.08,1,170,0,STR-398090
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37826919555664,-71.06332397460938,Entire home/apt,207,2,492,2024-12-13,3.25,1,189,45,STR-401905
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30833,-71.11456,Entire home/apt,689,3,87,2024-11-26,0.60,2,240,10,STR-454183
750438,"Private room for 1 person, separate private bath",3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,90,2,297,2024-12-09,2.07,1,211,30,STR-523680
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28573,-71.12334,Private room,55,91,142,2019-07-27,1.23,1,365,0,STR-397984
801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,Terry,,Roxbury,42.32795,-71.09412,Entire home/apt,161,3,74,2024-10-22,0.49,11,121,5,STR-446651
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,431,2,210,2025-03-13,1.45,2,327,61,STR-411359
849408,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,Damon,,Roslindale,42.29038,-71.13919,Entire home/apt,359,5,109,2024-10-28,0.80,2,135,16,STR-456742
863788,South End | 2BR 2BA | Pet OK | Walk Everywhere!,775932,Andy & Daljit,,South End,42.344162,-71.070381,Entire home/apt,,3,25,2024-05-21,0.17,1,0,2,STR-397937
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.3665,-71.05296,Entire home/apt,109,29,614,2024-12-17,4.21,1,181,2,STR-400168
894539,Private room in house,4762495,Jennifer,,Roslindale,42.29017,-71.13169,Private room,82,29,63,2022-08-30,0.45,2,289,0,STR-408484
962610,Convenient Boston Hotel Alternative,4434391,Damon,,West Roxbury,42.29175,-71.14096,Entire home/apt,165,5,104,2024-10-21,0.73,2,0,8,STR-523304
973695,Best Location Luxury Beacon Hill North End Condo,1760577,Claire,,Downtown,42.359764099121094,-71.06116485595703,Private room,158,91,61,2022-09-11,0.44,1,365,0,
989163,"The Dalton - The Upton Boston, South End",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,213,2,86,2024-11-24,0.61,7,173,8,
1055627,Spacious 1 bdrm in Beacon Hill,4299002,Lauren,,Downtown,42.36194,-71.06256,Entire home/apt,,91,8,2018-09-09,0.06,2,0,0,
1071235,Cozy JP Studio-Great Location!,965697,Kristina,,Jamaica Plain,42.31653,-71.11049,Entire home/apt,122,3,387,2025-02-23,2.68,2,93,52,STR-409453
1077105,"Studio Apt. for Rent in South End,",5927277,J,,South End,42.34022,-71.075,Entire home/apt,,91,0,,,1,0,0,
1090545,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,1984434,Irene,,Back Bay,42.34475,-71.08204,Private room,204,29,117,2019-12-06,0.82,1,364,0,STR-398748
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33395767211914,-71.10222625732422,Entire home/apt,,91,31,2023-04-30,0.22,6,131,0,
